fill_id,order_id,ticker,side,price,size,fee,timestamp,reason
fill_AMAT_2026-04-24,ord_AMAT_2026-04-24,AMAT,BUY,341.8715,73,2.5,2026-04-24 09:30:00,
fill_D_2026-04-24,ord_D_2026-04-24,D,BUY,63.2732,296,1.87,2026-04-24 09:30:00,
fill_AHR_2026-04-24,ord_AHR_2026-04-24,AHR,BUY,52.2122,269,1.4,2026-04-24 09:30:00,
fill_CLMT_2026-04-24,ord_CLMT_2026-04-24,CLMT,BUY,28.6186,369,1.06,2026-04-24 09:30:00,
fill_BTU_2026-04-24,ord_BTU_2026-04-24,BTU,BUY,34.6746,228,0.79,2026-04-24 09:30:00,
fill_AA_2026-04-24,ord_AA_2026-04-24,AA,BUY,63.6536,93,0.59,2026-04-24 09:30:00,
fill_AMAT_exit_2026-04-24,ord_AMAT_2026-04-24,AMAT,SELL,341.8715,73,0.0,2026-04-24 16:00:00,no_data
fill_D_exit_2026-04-24,ord_D_2026-04-24,D,SELL,63.2732,296,0.0,2026-04-24 16:00:00,no_data
fill_AHR_exit_2026-04-24,ord_AHR_2026-04-24,AHR,SELL,52.2122,269,0.0,2026-04-24 16:00:00,no_data
fill_CLMT_exit_2026-04-24,ord_CLMT_2026-04-24,CLMT,SELL,28.6186,369,0.0,2026-04-24 16:00:00,no_data
fill_BTU_exit_2026-04-24,ord_BTU_2026-04-24,BTU,SELL,34.6746,228,0.0,2026-04-24 16:00:00,no_data
fill_AA_exit_2026-04-24,ord_AA_2026-04-24,AA,SELL,63.6536,93,0.0,2026-04-24 16:00:00,no_data
