ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
AEP,133.61,131.6,-1.53,0.97,0.0,1.85,0.0,1.53,0.0,488.4,0.0,50.0,20.0,1,rs(50%<70%),13.059
MU,426.13,408.84,-4.23,1.23,0.0,5.16,0.0,4.23,0.0,13483.0,0.0,50.0,20.0,1,rs(50%<70%),18.456
ADM,71.98,68.64,-4.86,1.04,0.0,3.04,0.0,4.86,0.0,250.5,0.0,50.0,20.0,1,rs(50%<70%),19.724
INTC,45.77,45.49,-0.62,0.88,0.04,4.61,0.0,0.62,0.0,3510.3,0.0,50.0,20.0,2,rvol(0.88<0.92) | rs(50%<70%),11.683
COST,1008.43,999.05,-0.94,0.74,0.18,1.88,0.0,0.94,0.0,2004.9,0.0,50.0,20.0,2,rvol(0.74<0.92) | rs(50%<70%),13.694
AEE,112.04,110.55,-1.35,0.81,0.11,1.7,0.0,1.35,0.0,210.9,0.0,50.0,20.0,2,rvol(0.81<0.92) | rs(50%<70%),13.8
AVGO,322.16,329.44,2.21,0.99,0.0,3.82,0.0,-2.21,0.0,8376.2,0.0,50.0,20.0,2,below_SMA20(2.2%) | rs(50%<70%),14.417
PYPL,44.9,44.69,-0.46,0.53,0.39,4.1,0.0,0.46,0.0,1185.3,0.0,50.0,20.0,2,rvol(0.53<0.92) | rs(50%<70%),14.851
AAP,51.73,53.3,2.94,0.99,0.0,5.06,0.0,-2.94,0.0,99.9,0.0,50.0,20.0,2,below_SMA20(2.9%) | rs(50%<70%),15.889
BKNG,4241.26,4221.94,-0.46,0.38,0.54,3.79,0.0,0.46,0.0,2490.9,0.0,50.0,20.0,2,rvol(0.38<0.92) | rs(50%<70%),16.285
ADIA,0.2,0.2,-1.71,1.09,0.0,9.64,0.0,1.71,0.0,0.0,31.5,50.0,20.0,2,dv(0M<32M) | rs(50%<70%),16.576
TSLA,391.2,404.83,3.37,0.98,0.0,2.9,0.0,-3.37,0.0,22859.8,0.0,50.0,20.0,2,below_SMA20(3.4%) | rs(50%<70%),16.732
KLAC,1418.64,1468.49,3.39,1.29,0.0,4.1,0.0,-3.39,0.0,1318.6,0.0,50.0,20.0,2,below_SMA20(3.4%) | rs(50%<70%),16.79
