,day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,rs_percentile,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
0,22.0,78.0,0.0,200.01657104492188,14.0,-499.7590638427735,15.0,500.0,1.640236496925354,3.8682703971862793,31196600.0,0.699999988079071,200.01657104492188,305.9076843261719,411.798828125,2025-01-27,2025-01-19,AVGO,STOP,500.0,500.0,500.0,31196600.0,-15.14425509001913,235.71364703369142,7353464361.051258,POCKET_PIVOT,2.4682719707489014,,0.0,NONE,0.0,35.714285714285715,15.151556205475428,35.714285714285715,-0.999518127685547,LOSS,False,False
1,22.0,154.0,0.0,90.8123779296875,30.0,-547.2731597900392,18.0,500.0,1.325356125831604,3.985639810562134,23533600.0,0.5,92.51979064941406,141.5800018310547,190.6402130126953,2025-01-27,2025-01-22,MU,STOP,500.0,500.0,500.0,23533600.0,-16.7277697860514,109.05481658935548,2566452431.6872563,POCKET_PIVOT,10.99876880645752,,0.0,NONE,0.0,16.666666666666668,15.282834071808848,16.666666666666668,-1.0945463195800784,LOSS,False,True
2,29.0,170.0,0.0,77.54573059082031,36.0,-511.47376501464817,15.0,500.0,2.893085479736328,2.690308094024658,16499700.0,0.5,77.85850524902344,119.07771301269531,160.2969207763672,2025-02-04,2025-01-19,PYPL,STOP,500.0,500.0,500.0,16499700.0,-15.484564737303868,91.75333517456053,1513902504.3796964,POCKET_PIVOT,5.245656490325928,,0.0,NONE,0.0,13.88888888888889,15.137203309792834,13.88888888888889,-1.0229475300292963,LOSS,False,True
3,32.0,189.0,0.0,361.6199951171875,7.0,-459.222714111328,15.0,500.0,1.5840836763381958,6.120664119720459,94991400.0,0.5,362.5249938964844,554.4500122070312,746.375,2025-02-07,2025-01-19,TSLA,STOP,500.0,500.0,500.0,94991400.0,-15.355729448273095,427.22323999023433,40582533679.20834,POCKET_PIVOT,4.431290626525879,,0.0,NONE,0.0,71.42857142857143,16.719261674576547,71.42857142857143,-0.918445428222656,LOSS,False,False
4,45.0,182.0,0.0,465.2375183105469,6.0,-482.35781359863296,18.0,500.0,1.708633303642273,2.378350257873535,1193600.0,0.5,465.2375183105469,703.625,942.0125122070312,2025-02-24,2025-01-22,SNPS,STOP,500.0,500.0,500.0,1193600.0,-14.733958386237653,545.6304872436524,651264549.5740235,POCKET_PIVOT,8.139875411987305,,0.5,CUP_AND_HANDLE,0.2,83.33333333333333,15.27285136765473,83.33333333333333,-0.9647156271972659,LOSS,False,False
5,48.0,70.0,0.0,155.44476318359375,17.0,-595.216457397461,15.0,500.0,1.8987598419189453,2.6299290657043457,8115100.0,0.5,161.62461853027344,247.19058227539062,332.7565612792969,2025-02-27,2025-01-19,AMAT,STOP,500.0,500.0,500.0,8115100.0,-18.383488982388073,190.4574959716797,1545581625.559778,POCKET_PIVOT,10.608769416809082,,0.0,NONE,0.0,29.41176470588235,15.44269211134424,29.41176470588235,-1.190432914794922,LOSS,False,True
6,52.0,6.0,0.0,122.07728576660156,22.0,-535.7021195678713,15.0,500.0,2.990777015686035,2.485755681991577,3210300.0,0.5,124.25574493408203,190.03819274902344,255.82064819335938,2025-03-04,2025-01-19,A,STOP,500.0,500.0,500.0,3210300.0,-16.6294691559825,146.42738211059572,470075824.78964543,POCKET_PIVOT,6.471224308013916,,0.0,NONE,0.0,22.727272727272727,15.521190367322795,22.727272727272727,-1.0714042391357426,LOSS,False,True
7,52.0,135.0,0.0,21.329999923706055,155.0,-31.41227632522558,15.0,500.0,3.6089084148406982,3.351409435272217,166483904.0,0.5,21.489999771118164,27.937000274658203,37.60749816894531,2025-03-04,2025-01-19,INTC,STOP,500.0,500.0,500.0,166483904.0,-0.9411742414320057,21.532659770965573,3584841262.174094,POCKET_PIVOT,7.297101974487305,,0.0,NONE,0.0,3.225806451612903,14.980993922369723,3.225806451612903,-0.06282455265045116,LOSS,False,False
8,55.0,150.0,0.0,610.8438110351562,5.0,-6.108438110351404,15.0,500.0,1.9995139837265015,2.784876585006714,17280600.0,0.5,610.8438110351562,794.096923828125,1068.9766845703125,2025-03-07,2025-01-19,META,STOP,500.0,500.0,500.0,17280600.0,-0.19960079840318848,612.0654986572265,10576859056.096067,POCKET_PIVOT,1.0490469932556152,,0.0,NONE,0.0,100.0,16.338120710836332,100.0,-0.012216876220702808,LOSS,False,False
9,57.0,72.0,0.0,192.0489959716797,14.0,-479.8514624633788,15.0,500.0,1.9693338871002197,2.1123874187469482,42370100.0,0.5,192.0489959716797,293.7220153808594,395.39501953125,2025-03-10,2025-01-19,AMZN,STOP,500.0,500.0,500.0,42370100.0,-15.144257459122706,226.3241004333496,9589374767.771067,POCKET_PIVOT,1.7713367938995361,,0.0,NONE,0.0,35.714285714285715,15.780151404955323,35.714285714285715,-0.9597029249267577,LOSS,False,False
10,67.0,146.0,0.0,233.32528686523438,12.0,-499.70039282226566,15.0,500.0,2.031956195831299,1.8637436628341675,1805200.0,0.5,233.32528686523438,356.8504333496094,480.3755798339844,2025-03-21,2025-01-19,MAR,STOP,500.0,500.0,500.0,1805200.0,-15.144254212906382,274.96698626708985,496370403.6093506,POCKET_PIVOT,0.48887690901756287,,0.0,NONE,0.0,41.666666666666664,15.153334308357167,41.666666666666664,-0.9994007856445313,LOSS,False,False
11,74.0,144.0,0.0,70.38044738769531,41.0,-502.44763406372056,18.0,500.0,1.4611598253250122,2.890951633453369,10978300.0,0.5,70.38044738769531,106.72262573242188,143.06480407714844,2025-03-31,2025-01-22,LRCX,STOP,500.0,500.0,500.0,10978300.0,-14.830012269038551,82.63526773071288,907194759.7280853,POCKET_PIVOT,8.361041069030762,,0.55,POCKET_PIVOT,0.2,12.195121951219512,14.757769032660828,12.195121951219512,-1.004895268127441,LOSS,False,True
12,77.0,64.0,0.0,367.25,7.0,-495.6315512695313,18.0,500.0,1.3778390884399414,2.1502199172973633,3833300.0,0.800000011920929,371.8659973144531,568.22802734375,764.5899658203125,2025-04-03,2025-01-22,ADBE,STOP,500.0,500.0,500.0,3833300.0,-16.163401161356838,438.0545073242188,1679194342.9259279,POCKET_PIVOT,2.592496871948242,,0.5,CUP_AND_HANDLE,0.2,71.42857142857143,16.305863821577976,71.42857142857143,-0.9912631025390626,LOSS,False,False
13,77.0,141.0,0.0,616.9490356445312,4.0,-541.3413540039063,15.0,500.0,1.676568627357483,2.9633307456970215,1402500.0,0.5,638.3928833007812,976.3656005859375,1314.33837890625,2025-04-03,2025-01-19,KLAC,STOP,500.0,500.0,500.0,1402500.0,-17.989917530149288,752.2843741455079,1055078834.7390747,POCKET_PIVOT,11.204906463623047,,0.0,NONE,0.0,125.0,16.616056945484598,125.0,-1.0826827080078125,LOSS,False,True
14,77.0,154.0,0.0,74.19363403320312,34.0,-697.8436748046877,60.0,500.0,1.3695337772369385,5.29273796081543,23584700.0,0.6976937055587769,80.27091979980469,123.1683349609375,166.0657501220703,2025-04-03,2025-03-13,MU,STOP,500.0,500.0,500.0,23584700.0,-21.66928871687908,94.71844799804688,2233906180.4995365,POCKET_PIVOT,0.057471659034490585,17.692307692307693,0.0,NONE,0.0,14.705882352941176,15.52589032417889,14.705882352941176,-1.3956873496093753,LOSS,False,True
15,77.0,164.0,0.0,164.5449981689453,17.0,-488.3096025695799,23.0,500.0,1.3715604543685913,2.657285451889038,6113100.0,0.533409059047699,164.5449981689453,249.73001098632812,334.9150085449219,2025-04-03,2025-01-28,PANW,STOP,500.0,500.0,500.0,6113100.0,-14.86222856769063,193.26909243774412,1181473288.9811735,POCKET_PIVOT,7.644285202026367,,0.0,NONE,0.0,29.41176470588235,15.218038401746249,29.41176470588235,-0.9766192051391598,LOSS,False,False
16,77.0,171.0,0.0,136.8134307861328,20.0,-488.34363098144536,15.0,500.0,1.6235637664794922,2.4904062747955322,8097500.0,0.5,136.8134307861328,209.24407958984375,281.6747131347656,2025-04-03,2025-01-19,QCOM,STOP,500.0,500.0,500.0,8097500.0,-15.144259018447407,161.23061233520508,1305564883.3843231,POCKET_PIVOT,3.832833766937256,,0.0,NONE,0.0,25.0,15.505740279658536,25.0,-0.9766872619628907,LOSS,False,False
17,77.0,190.0,0.0,159.17364501953125,17.0,-522.9300771484376,18.0,500.0,2.559088706970215,2.0852251052856445,9621700.0,0.5,161.4362030029297,245.9752655029297,330.5143127441406,2025-04-03,2025-01-22,TXN,STOP,500.0,500.0,500.0,9621700.0,-16.195391168477492,189.93423779296876,1827490255.7726076,POCKET_PIVOT,2.897902250289917,,0.0,NONE,0.0,29.41176470588235,15.48523586249975,29.41176470588235,-1.0458601542968753,LOSS,False,True
18,78.0,135.0,0.0,19.850000381469727,140.0,-593.5578398895265,61.0,500.0,2.1373913288116455,6.592503070831299,243260992.0,0.9171595573425293,20.494998931884766,31.15999984741211,41.82500076293945,2025-04-04,2025-03-14,INTC,STOP,500.0,500.0,500.0,243260992.0,-17.59963382895609,24.08969923782349,5860084133.574586,POCKET_PIVOT,6.166950225830078,75.63451776649747,0.0,NONE,0.0,3.5714285714285716,14.825542387100601,3.5714285714285716,-1.187115679779053,LOSS,False,True
19,78.0,153.0,0.0,357.9212341308594,7.0,-480.78039801025386,15.0,500.0,2.0473122596740723,1.8719664812088013,26197500.0,0.5,362.00506591796875,553.65478515625,745.3045654296875,2025-04-04,2025-01-19,MSFT,STOP,500.0,500.0,500.0,26197500.0,-16.099917054758865,426.6041481323242,11175962170.696564,POCKET_PIVOT,1.267287254333496,,0.0,NONE,0.0,71.42857142857143,16.74352482067654,71.42857142857143,-0.9615607960205077,LOSS,False,False
20,78.0,165.0,0.0,88.44810485839844,31.0,-503.52747604370126,23.0,500.0,2.0035409927368164,1.9043091535568237,3213900.0,0.5556818246841431,88.44810485839844,136.64588928222656,184.8436737060547,2025-04-04,2025-01-28,PCAR,STOP,500.0,500.0,500.0,3213900.0,-15.515023436215447,104.69092666625977,336466169.21269226,POCKET_PIVOT,-1.7132638692855835,,0.55,POCKET_PIVOT,0.2,16.129032258064516,15.406332498595265,16.129032258064516,-1.0070549520874026,LOSS,False,True
21,80.0,158.0,0.0,82.35380554199219,38.0,-501.97635748291043,18.0,500.0,3.991790533065796,2.5405101776123047,98514000.0,0.5,82.35380554199219,121.4894027709961,160.625,2025-04-07,2025-01-22,NFLX,STOP,500.0,500.0,500.0,98514000.0,-13.823138707834975,95.56370968627931,9414363296.03412,POCKET_PIVOT,9.811042785644531,,0.75,POCKET_PIVOT,0.3,13.157894736842104,13.768714902380216,13.157894736842104,-1.003952714965821,LOSS,False,True
22,81.0,27.0,0.0,167.89572143554688,16.0,-479.2671943359374,46.0,500.0,1.3637548685073853,2.191650867462158,6305000.0,0.6150757074356079,167.89572143554688,256.7509460449219,345.606201171875,2025-04-08,2025-02-25,ABBV,STOP,500.0,500.0,500.0,6305000.0,-15.139859284376767,197.84992108154296,1247443752.4191284,POCKET_PIVOT,5.174751281738281,,0.65,POCKET_PIVOT,0.2,31.25,15.794800336119646,31.25,-0.9585343886718748,LOSS,False,False
23,110.0,10.0,1.0,105.67572784423828,20.0,473.57128021240226,94.0,500.0,1.6694635152816772,6.084078311920166,1084400.0,0.5,81.78581237792969,105.67572784423828,141.51058959960938,2025-05-12,2025-04-23,AAON,TP1,500.0,500.0,500.0,1084400.0,28.877296364379973,81.99716383361817,88917724.46117555,POCKET_PIVOT,2.571781873703003,14.659685863874344,0.0,NONE,0.0,25.0,30.488859408269192,25.0,0.9471425604248045,WIN,False,False
24,112.0,195.0,0.0,421.1600036621094,7.0,-11.776214416504004,15.0,500.0,1.6043782234191895,2.6169989109039307,1773600.0,0.5,422.0,548.5999755859375,738.5,2025-05-14,2025-01-19,VRTX,STOP,500.0,500.0,500.0,1773600.0,-0.3978590282036381,422.84232000732425,749953138.7649903,POCKET_PIVOT,2.843425750732422,,0.0,NONE,0.0,71.42857142857143,16.892484041648004,71.42857142857143,-0.023552428833008007,LOSS,False,False
25,129.0,75.0,0.0,127.43762969970703,27.0,-31.150774154663253,89.0,500.0,2.9106545448303223,4.7189764976501465,57457600.0,0.5,128.33648681640625,164.6502227783203,219.12081909179688,2025-06-03,2025-04-17,ASELS-IS,STOP,500.0,500.0,500.0,57457600.0,-0.8972083019219472,128.59136207580568,7388551045.6068125,POCKET_PIVOT,7.6496171951293945,36.868686868686865,0.0,NONE,0.0,18.51851851851852,14.401059464322104,18.51851851851852,-0.06230154830932651,LOSS,False,False
