run_date,sector_etf,rank,rank_prev,rank_curr,performance_pct,rs_pct,strength,status
2026-05-19,XLK,1,,,,203.34,STRONG,
2026-05-19,XLE,2,,,,136.92,STRONG,
2026-05-19,XLV,4,,,,-127.31,VERY_WEAK,
2026-05-19,XLC,5,,,,-135.29,VERY_WEAK,
2026-05-19,XLK,0,1.0,1.0,-43.9,,,tradeable
2026-05-19,XLE,0,2.0,2.0,40.4,,,tradeable
2026-05-19,XLP,0,3.0,3.0,36.21,,,tradeable
2026-05-19,XLV,0,5.0,4.0,33.52,,,blocked
2026-05-19,XLC,0,6.0,5.0,26.73,,,blocked
2026-05-19,XLF,0,7.0,6.0,22.01,,,blocked
2026-05-19,XLI,0,4.0,7.0,-13.14,,,blocked
2026-05-19,XLRE,0,8.0,8.0,21.54,,,blocked
2026-05-19,XLY,0,10.0,9.0,8.7,,,blocked
2026-05-19,XLB,0,9.0,10.0,-16.63,,,blocked
2026-05-19,XLU,0,11.0,11.0,27.68,,,blocked
2026-05-19,XLK,1,,,,203.34,STRONG,
2026-05-19,XLE,2,,,,136.92,STRONG,
2026-05-19,XLV,4,,,,-127.31,VERY_WEAK,
2026-05-19,XLC,5,,,,-135.29,VERY_WEAK,
2026-05-19,XLK,0,1.0,1.0,-43.9,,,tradeable
2026-05-19,XLE,0,2.0,2.0,40.4,,,tradeable
2026-05-19,XLP,0,3.0,3.0,36.21,,,tradeable
2026-05-19,XLV,0,5.0,4.0,33.52,,,blocked
2026-05-19,XLC,0,6.0,5.0,26.73,,,blocked
2026-05-19,XLF,0,7.0,6.0,22.01,,,blocked
2026-05-19,XLI,0,4.0,7.0,-13.14,,,blocked
2026-05-19,XLRE,0,8.0,8.0,21.54,,,blocked
2026-05-19,XLY,0,10.0,9.0,8.7,,,blocked
2026-05-19,XLB,0,9.0,10.0,-16.63,,,blocked
2026-05-19,XLU,0,11.0,11.0,27.68,,,blocked
