ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
ON,90.54945054945055,119.1,2.56,2.56,0.84,Breakout > 119.10,XLK,False,True,shadow_allowed,paper_finviz
KNX,71.86813186813187,69.99,6.06,6.06,0.74,Breakout > 69.99,OTHER,False,True,shadow_allowed,paper_finviz
SOLV,77.58241758241759,76.47,5.25,5.25,0.87,Breakout > 76.47,OTHER,False,True,shadow_allowed,paper_finviz
TTWO,78.9010989010989,246.25,6.68,6.68,1.05,Breakout > 246.25,OTHER,False,True,shadow_allowed,paper_finviz
KGS,89.8901098901099,76.17,8.54,8.54,0.99,Breakout > 76.17,OTHER,False,True,shadow_allowed,paper_finviz
RXO,77.14285714285715,23.37,7.6,7.6,1.98,Breakout > 23.37,OTHER,False,True,shadow_allowed,paper_finviz
QCOM,96.92307692307692,247.9,6.81,6.81,0.64,Breakout > 247.90,XLK,False,True,shadow_allowed,paper_finviz
JD,72.96703296703296,34.3,5.18,5.18,1.34,Breakout > 34.30,OTHER,False,True,shadow_allowed,paper_finviz
MRVL,87.03296703296704,192.15,5.62,5.62,0.99,Breakout > 192.15,OTHER,False,True,shadow_allowed,paper_finviz
WELL,72.52747252747253,221.68,2.19,2.19,2.23,Breakout > 221.68,OTHER,False,True,shadow_allowed,paper_finviz
NTRS,45.27472527472528,173.19,0.59,0.59,0.94,Breakout > 173.19,OTHER,False,True,shadow_allowed,paper_finviz
SYK,49.67032967032967,339.39,3.46,3.46,1.24,Breakout > 339.39,XLV,True,False,blocked_by_sector,paper_finviz
EIX,62.857142857142854,71.82,1.84,1.84,1.19,Breakout > 71.82,OTHER,False,True,shadow_allowed,paper_finviz
MDB,93.18681318681318,339.97,18.42,18.42,1.15,Breakout > 339.97,XLK,False,True,shadow_allowed,paper_finviz
VSH,95.6043956043956,40.07,15.29,15.29,1.2,Breakout > 40.07,OTHER,False,True,shadow_allowed,paper_finviz
LLY,84.17582417582418,1021.06,7.25,7.25,1.1,SMA50>SMA100 (-5.25%),XLV,True,False,blocked_by_sector,paper_finviz
NVT,85.71428571428571,175.0,0.02,0.02,1.12,Breakout > 175.00,OTHER,False,True,shadow_allowed,paper_finviz
CAH,52.307692307692314,211.03,2.76,2.76,1.09,Breakout > 211.03,OTHER,False,True,shadow_allowed,paper_finviz
COST,78.24175824175825,1079.83,7.3,7.3,1.55,Dist SMA20 <= 6.77%,XLP,False,True,shadow_allowed,paper_finviz
OUT,73.4065934065934,34.96,2.11,2.11,1.01,Breakout > 34.96,OTHER,False,True,shadow_allowed,paper_finviz
ABBV,69.67032967032966,214.92,4.17,4.17,1.09,Breakout > 214.92,XLV,True,False,blocked_by_sector,paper_finviz
AMT,70.76923076923077,184.11,2.9,2.9,1.56,Breakout > 184.11,XLRE,False,True,shadow_allowed,paper_finviz
D,81.97802197802197,68.97,7.97,7.97,2.51,Breakout > 68.97,XLU,False,True,shadow_allowed,paper_finviz
PFGC,69.01098901098901,98.12,2.23,2.23,1.01,Breakout > 98.12,OTHER,False,True,shadow_allowed,paper_finviz
RBRK,89.01098901098901,65.4,10.63,10.63,1.27,Breakout > 65.40,OTHER,False,True,shadow_allowed,paper_finviz
ENPH,96.04395604395604,53.89,22.15,22.15,0.98,Breakout > 53.89,XLK,False,True,shadow_allowed,paper_finviz
TSEM,85.93406593406593,283.46,11.78,11.78,1.03,Breakout > 283.46,OTHER,False,True,shadow_allowed,paper_finviz
BRK-B,65.93406593406593,489.42,0.95,0.95,1.12,Breakout > 489.42,OTHER,False,True,shadow_allowed,paper_finviz
IBKR,70.98901098901099,88.44,1.58,1.58,1.61,Breakout > 88.44,OTHER,False,True,shadow_allowed,paper_finviz
ADSK,56.7032967032967,255.14,1.74,1.74,1.1,Breakout > 255.14,XLK,False,True,shadow_allowed,paper_finviz
EQR,74.06593406593407,66.95,1.37,1.37,1.21,Breakout > 66.95,OTHER,False,True,shadow_allowed,paper_finviz
KMI,79.56043956043956,33.83,6.42,6.42,1.35,SMA20>SMA50 (-0.77%),OTHER,False,True,shadow_allowed,paper_finviz
CVS,91.20879120879121,98.43,8.42,8.42,1.43,Breakout > 98.43,XLV,True,False,blocked_by_sector,paper_finviz
GTX,98.02197802197801,32.44,14.34,14.34,1.01,Breakout > 32.44,OTHER,False,True,shadow_allowed,paper_finviz
CRWD,95.16483516483515,621.05,21.77,21.77,1.51,Breakout > 621.05,XLK,False,True,shadow_allowed,paper_finviz
ERIC,81.0989010989011,12.87,7.04,7.04,1.61,Breakout > 12.87,OTHER,False,True,shadow_allowed,paper_finviz
BRKR,73.84615384615385,45.24,6.23,6.23,0.94,Breakout > 45.24,OTHER,False,True,shadow_allowed,paper_finviz
NBIS,92.3076923076923,233.73,13.14,13.14,0.93,Breakout > 233.73,OTHER,False,True,shadow_allowed,paper_finviz
ASTS,80.21978021978022,89.96,16.01,16.01,1.09,Breakout > 89.96,OTHER,False,True,shadow_allowed,paper_finviz
BTDR,73.62637362637363,15.11,1.06,1.06,1.37,Breakout > 15.11,OTHER,False,True,shadow_allowed,paper_finviz
XOM,80.43956043956044,161.73,7.43,7.43,1.22,SMA20>SMA50 (-2.01%),XLE,False,True,shadow_allowed,paper_finviz
GOOG,86.81318681318682,404.47,2.42,2.42,1.32,Breakout > 404.47,XLC,False,True,shadow_allowed,paper_finviz
NBIX,88.57142857142857,162.39,8.15,8.15,1.08,Breakout > 162.39,OTHER,False,True,shadow_allowed,paper_finviz
HESM,82.19780219780219,40.66,6.37,6.37,0.87,RVOL >= 1.10,OTHER,False,True,shadow_allowed,paper_finviz
CCI,78.02197802197803,92.81,4.19,4.19,1.19,Breakout > 92.81,XLRE,False,True,shadow_allowed,paper_finviz
VECO,85.05494505494505,65.43,0.46,0.46,0.82,Breakout > 65.43,OTHER,False,True,shadow_allowed,paper_finviz
BEKE,86.15384615384616,19.76,6.22,6.22,1.79,Breakout > 19.76,OTHER,False,True,shadow_allowed,paper_finviz
CLX,39.120879120879124,101.32,0.15,0.15,0.67,Breakout > 101.32,OTHER,False,True,shadow_allowed,paper_finviz
VRNS,89.67032967032968,29.72,10.14,10.14,1.37,SMA50>SMA100 (-8.17%),OTHER,False,True,shadow_allowed,paper_finviz
SAP,67.03296703296702,180.03,5.36,5.36,1.46,Breakout > 180.03,OTHER,False,True,shadow_allowed,paper_finviz
MMM,61.75824175824176,158.14,2.79,2.79,1.09,Breakout > 158.14,XLI,False,True,shadow_allowed,paper_finviz
FLNC,96.26373626373626,27.39,7.96,7.96,0.69,Breakout > 27.39,OTHER,False,True,shadow_allowed,paper_finviz
NOK,94.72527472527472,15.19,7.67,7.67,0.65,Breakout > 15.19,OTHER,False,True,shadow_allowed,paper_finviz
AKAM,96.7032967032967,165.45,14.96,14.96,2.17,Breakout > 165.45,OTHER,False,True,shadow_allowed,paper_finviz
EQT,71.42857142857143,60.63,3.38,3.38,1.18,Breakout > 60.63,OTHER,False,True,shadow_allowed,paper_finviz
TXRH,77.36263736263737,185.1,4.24,4.24,1.05,Breakout > 185.10,OTHER,False,True,shadow_allowed,paper_finviz
V,74.50549450549451,341.27,2.76,2.76,1.66,Breakout > 341.27,OTHER,False,True,shadow_allowed,paper_finviz
CMBT,93.62637362637362,15.57,16.07,16.07,4.34,Dist SMA20 <= 6.77%,OTHER,False,True,shadow_allowed,paper_finviz
CL,80.0,90.73,3.99,3.99,1.06,Breakout > 90.73,XLP,False,True,shadow_allowed,paper_finviz
BABA,60.65934065934066,146.87,0.12,0.12,0.92,Breakout > 146.87,OTHER,False,True,shadow_allowed,paper_finviz
ADM,84.61538461538461,83.1,3.78,3.78,1.08,Breakout > 83.10,OTHER,False,True,shadow_allowed,paper_finviz
HSY,66.37362637362637,195.08,2.98,2.98,1.02,Breakout > 195.08,OTHER,False,True,shadow_allowed,paper_finviz
MTSI,92.08791208791209,401.25,11.77,11.77,1.19,Breakout > 401.25,OTHER,False,True,shadow_allowed,paper_finviz
PBA,87.47252747252747,49.49,7.69,7.69,2.64,Dist SMA20 <= 6.77%,OTHER,False,True,shadow_allowed,paper_finviz
PTC,66.8131868131868,153.98,3.48,3.48,1.46,Breakout > 153.98,OTHER,False,True,shadow_allowed,paper_finviz
AMD,97.14285714285714,469.22,7.41,7.41,0.83,Breakout > 469.22,XLK,False,True,shadow_allowed,paper_finviz
DDOG,99.12087912087912,211.28,29.31,29.31,1.05,SMA100>SMA200 (-6.17%),XLK,False,True,shadow_allowed,paper_finviz
VLO,83.51648351648352,260.31,7.01,7.01,1.3,Dist SMA20 <= 6.77%,XLE,False,True,shadow_allowed,paper_finviz
ENB,81.31868131868131,56.41,5.58,5.58,2.22,OK,OTHER,False,True,shadow_allowed,paper_finviz
RPRX,74.28571428571429,53.35,3.49,3.49,1.05,Breakout > 53.35,OTHER,False,True,shadow_allowed,paper_finviz
ACGL,51.208791208791204,99.16,1.6,1.6,0.91,Breakout > 99.16,OTHER,False,True,shadow_allowed,paper_finviz
GEN,90.98901098901099,24.45,16.72,16.72,1.33,Breakout > 24.45,OTHER,False,True,shadow_allowed,paper_finviz
NNN,65.49450549450549,45.0,2.08,2.08,1.11,Breakout > 45.00,OTHER,False,True,shadow_allowed,paper_finviz
SWKS,87.6923076923077,72.81,5.68,5.68,0.96,Breakout > 72.81,OTHER,False,True,shadow_allowed,paper_finviz
FTNT,97.8021978021978,126.61,26.43,26.43,1.13,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
AON,48.13186813186813,336.0,2.05,2.05,1.42,Breakout > 336.00,OTHER,False,True,shadow_allowed,paper_finviz
BW,90.76923076923077,22.03,16.28,16.28,1.0,Breakout > 22.03,OTHER,False,True,shadow_allowed,paper_finviz
ADBE,67.47252747252747,259.44,3.01,3.01,1.16,Breakout > 259.44,XLK,False,True,shadow_allowed,paper_finviz
SNOW,83.07692307692308,165.28,13.89,13.89,1.66,SMA20>SMA50 (-3.07%),OTHER,False,True,shadow_allowed,paper_finviz
DBX,82.63736263736263,29.1,7.9,7.9,0.97,Breakout > 29.10,OTHER,False,True,shadow_allowed,paper_finviz
RSG,70.54945054945055,215.47,4.12,4.12,1.08,Breakout > 215.47,OTHER,False,True,shadow_allowed,paper_finviz
PATH,52.74725274725275,11.27,1.08,1.08,1.39,Breakout > 11.27,OTHER,False,True,shadow_allowed,paper_finviz
TRV,62.637362637362635,311.58,1.18,1.18,1.36,Breakout > 311.58,OTHER,False,True,shadow_allowed,paper_finviz
PANW,95.38461538461539,248.85,19.43,19.43,1.43,Breakout > 248.85,XLK,False,True,shadow_allowed,paper_finviz
PM,91.42857142857143,192.95,9.75,9.75,1.11,Breakout > 192.95,XLP,False,True,shadow_allowed,paper_finviz
MRX,80.87912087912088,58.45,1.26,1.26,1.34,Breakout > 58.45,OTHER,False,True,shadow_allowed,paper_finviz
VTR,76.70329670329672,91.06,1.69,1.69,0.93,Breakout > 91.06,OTHER,False,True,shadow_allowed,paper_finviz
NOW,64.3956043956044,104.68,10.48,10.48,1.76,Breakout > 104.68,XLK,False,True,shadow_allowed,paper_finviz
ZETA,66.15384615384615,19.88,4.13,4.13,1.29,Breakout > 19.88,OTHER,False,True,shadow_allowed,paper_finviz
CLSK,92.96703296703296,15.04,11.92,11.92,1.58,Breakout > 15.04,OTHER,False,True,shadow_allowed,paper_finviz
BGC,56.043956043956044,11.65,0.54,0.54,1.23,Breakout > 11.65,OTHER,False,True,shadow_allowed,paper_finviz
NDAQ,71.20879120879121,93.16,2.1,2.1,1.05,Breakout > 93.16,OTHER,False,True,shadow_allowed,paper_finviz
KR,67.25274725274726,68.96,5.84,5.84,1.62,SMA20>SMA50 (-3.75%),OTHER,False,True,shadow_allowed,paper_finviz
VSAT,84.3956043956044,75.14,6.8,6.8,1.55,Breakout > 75.14,OTHER,False,True,shadow_allowed,paper_finviz
HST,67.6923076923077,22.39,1.96,1.96,1.11,Breakout > 22.39,OTHER,False,True,shadow_allowed,paper_finviz
MNDY,85.49450549450549,88.48,8.89,8.89,1.1,Breakout > 88.48,OTHER,False,True,shadow_allowed,paper_finviz
IT,48.79120879120879,161.61,2.33,2.33,1.07,Breakout > 161.61,OTHER,False,True,shadow_allowed,paper_finviz
LSCC,73.18681318681318,130.0,1.8,1.8,1.11,Breakout > 130.00,OTHER,False,True,shadow_allowed,paper_finviz
TXG,49.23076923076923,25.18,2.71,2.71,0.86,Breakout > 25.18,OTHER,False,True,shadow_allowed,paper_finviz
CPRX,90.10989010989012,32.56,4.78,4.78,0.79,Breakout > 32.56,OTHER,False,True,shadow_allowed,paper_finviz
CYTK,86.37362637362638,80.2,8.58,8.58,0.65,Breakout > 80.20,OTHER,False,True,shadow_allowed,paper_finviz
TXN,94.5054945054945,310.29,6.32,6.32,0.8,Breakout > 310.29,OTHER,False,True,shadow_allowed,paper_finviz
NTNX,87.91208791208791,48.01,10.63,10.63,1.71,SMA50>SMA100 (-3.63%),OTHER,False,True,shadow_allowed,paper_finviz
LION,76.92307692307693,13.01,1.27,1.27,0.96,Breakout > 13.01,OTHER,False,True,shadow_allowed,paper_finviz
TGT,50.54945054945055,131.85,1.37,1.37,2.18,Breakout > 131.85,XLY,False,True,shadow_allowed,paper_finviz
SGHC,82.41758241758241,14.07,7.22,7.22,0.92,Breakout > 14.07,OTHER,False,True,shadow_allowed,paper_finviz
BOX,72.08791208791209,26.0,4.19,4.19,1.17,Breakout > 26.00,OTHER,False,True,shadow_allowed,paper_finviz
ADI,80.65934065934066,435.72,1.74,1.74,1.7,Breakout > 435.72,XLK,False,True,shadow_allowed,paper_finviz
ESTC,81.53846153846153,54.01,8.53,8.53,1.36,Breakout > 54.01,OTHER,False,True,shadow_allowed,paper_finviz
MU,98.24175824175823,818.67,10.95,10.95,1.22,Breakout > 818.67,XLK,False,True,shadow_allowed,paper_finviz
ADP,77.80219780219781,223.31,5.2,5.2,1.14,Breakout > 223.31,OTHER,False,True,shadow_allowed,paper_finviz
SONY,79.12087912087912,22.98,8.89,8.89,0.94,Breakout > 22.98,OTHER,False,True,shadow_allowed,paper_finviz
BBY,26.813186813186814,68.21,0.91,0.91,1.41,Breakout > 68.21,OTHER,False,True,shadow_allowed,paper_finviz
HMC,63.95604395604395,26.66,3.22,3.22,1.12,Breakout > 26.66,OTHER,False,True,shadow_allowed,paper_finviz
XMTR,99.56043956043956,91.24,32.79,32.79,1.17,Breakout > 91.24,OTHER,False,True,shadow_allowed,paper_finviz
GOOGL,87.25274725274726,408.61,2.38,2.38,1.36,Breakout > 408.61,XLK,False,True,shadow_allowed,paper_finviz
BJ,64.83516483516483,98.29,3.65,3.65,1.12,Breakout > 98.29,OTHER,False,True,shadow_allowed,paper_finviz
DXCM,75.6043956043956,65.17,9.86,9.86,1.81,SMA20>SMA50 (-3.48%),OTHER,False,True,shadow_allowed,paper_finviz
ACMR,94.06593406593406,67.66,15.84,15.84,1.13,Breakout > 67.66,OTHER,False,True,shadow_allowed,paper_finviz
JOBY,81.75824175824175,11.19,3.19,3.19,0.74,Breakout > 11.19,OTHER,False,True,shadow_allowed,paper_finviz
CVX,75.82417582417582,194.42,5.54,5.54,1.21,SMA20>SMA50 (-2.46%),XLE,False,True,shadow_allowed,paper_finviz
SO,68.35164835164835,96.6,1.01,1.01,1.51,Breakout > 96.60,XLU,False,True,shadow_allowed,paper_finviz
TENB,91.86813186813187,23.26,19.06,19.06,1.76,SMA50>SMA100 (-5.02%),OTHER,False,True,shadow_allowed,paper_finviz
WMB,83.73626373626374,78.31,6.43,6.43,1.26,OK,OTHER,False,True,shadow_allowed,paper_finviz
CSCO,93.4065934065934,119.39,18.3,18.3,1.28,Breakout > 119.39,XLK,False,True,shadow_allowed,paper_finviz
