number,value,datetime_start,datetime_complete,duration,params_max_stop_pct,params_risk_dollars,params_tp1_pct,params_tp1_r,params_tp2_pct,params_tp2_r,state
0,-0.111582202982226,2026-02-07 20:06:11.437955,2026-02-07 20:06:18.092301,0 days 00:00:06.654346,0.06,200.0,0.5,1.25,0.3,3.5,COMPLETE
1,-0.0813690379049919,2026-02-07 20:06:18.093476,2026-02-07 20:06:18.274175,0 days 00:00:00.180699,0.05,250.0,0.5,1.75,0.3,4.0,COMPLETE
2,-999.0,2026-02-07 20:06:18.275516,2026-02-07 20:06:18.276054,0 days 00:00:00.000538,,,0.5,1.25,0.4,3.0,COMPLETE
3,-999.0,2026-02-07 20:06:18.277215,2026-02-07 20:06:18.278108,0 days 00:00:00.000893,,,0.4,1.75,0.5,4.0,COMPLETE
4,-999.0,2026-02-07 20:06:18.280432,2026-02-07 20:06:18.281236,0 days 00:00:00.000804,,,0.5,1.5,0.5,3.0,COMPLETE
5,-0.11040654781073016,2026-02-07 20:06:18.282269,2026-02-07 20:06:18.476199,0 days 00:00:00.193930,0.04,250.0,0.4,1.75,0.3,2.5,COMPLETE
6,-999.0,2026-02-07 20:06:18.477466,2026-02-07 20:06:18.477976,0 days 00:00:00.000510,,,0.4,1.25,0.5,3.5,COMPLETE
7,-999.0,2026-02-07 20:06:18.478917,2026-02-07 20:06:18.479399,0 days 00:00:00.000482,,,0.5,1.25,0.4,4.0,COMPLETE
8,-0.08356960316304876,2026-02-07 20:06:18.480199,2026-02-07 20:06:18.653736,0 days 00:00:00.173537,0.05,250.0,0.3,1.25,0.4,2.5,COMPLETE
9,-999.0,2026-02-07 20:06:18.654936,2026-02-07 20:06:18.655466,0 days 00:00:00.000530,,,0.5,1.5,0.4,3.5,COMPLETE
10,-0.07794897370447472,2026-02-07 20:06:18.656340,2026-02-07 20:06:18.845125,0 days 00:00:00.188785,0.05,150.0,0.3,1.0,0.3,4.0,COMPLETE
11,-0.07794897370447472,2026-02-07 20:06:18.846196,2026-02-07 20:06:19.050407,0 days 00:00:00.204211,0.05,150.0,0.3,1.0,0.3,4.0,COMPLETE
12,-0.07794897370447472,2026-02-07 20:06:19.051243,2026-02-07 20:06:19.230311,0 days 00:00:00.179068,0.05,150.0,0.3,1.0,0.3,4.0,COMPLETE
13,-0.07794897370447472,2026-02-07 20:06:19.231900,2026-02-07 20:06:19.423253,0 days 00:00:00.191353,0.07,150.0,0.3,1.0,0.3,4.0,COMPLETE
14,-0.04015216954969527,2026-02-07 20:06:19.424217,2026-02-07 20:06:19.589592,0 days 00:00:00.165375,0.05,150.0,0.3,2.0,0.3,4.0,COMPLETE
15,-0.04015216954969527,2026-02-07 20:06:19.590808,2026-02-07 20:06:19.767872,0 days 00:00:00.177064,0.05,150.0,0.3,2.0,0.3,4.0,COMPLETE
16,-0.04015216954969527,2026-02-07 20:06:19.768840,2026-02-07 20:06:19.942730,0 days 00:00:00.173890,0.04,150.0,0.3,2.0,0.3,4.0,COMPLETE
17,-0.07816334056895168,2026-02-07 20:06:19.943780,2026-02-07 20:06:20.121599,0 days 00:00:00.177819,0.07,150.0,0.3,2.0,0.3,3.0,COMPLETE
18,-0.0722026149762886,2026-02-07 20:06:20.122795,2026-02-07 20:06:20.340611,0 days 00:00:00.217816,0.06,200.0,0.3,2.0,0.3,2.5,COMPLETE
19,-0.02687970612453644,2026-02-07 20:06:20.341842,2026-02-07 20:06:20.549223,0 days 00:00:00.207381,0.05,150.0,0.3,2.0,0.5,4.0,COMPLETE
20,-0.02687970612453644,2026-02-07 20:06:20.550236,2026-02-07 20:06:20.779603,0 days 00:00:00.229367,0.05,150.0,0.3,2.0,0.5,4.0,COMPLETE
21,-0.02687970612453644,2026-02-07 20:06:20.780631,2026-02-07 20:06:20.984164,0 days 00:00:00.203533,0.05,150.0,0.3,2.0,0.5,4.0,COMPLETE
22,-0.02687970612453644,2026-02-07 20:06:20.985219,2026-02-07 20:06:21.184943,0 days 00:00:00.199724,0.05,150.0,0.3,2.0,0.5,4.0,COMPLETE
23,-0.02687970612453644,2026-02-07 20:06:21.185876,2026-02-07 20:06:21.423050,0 days 00:00:00.237174,0.05,150.0,0.3,2.0,0.5,4.0,COMPLETE
24,-0.012434102975853826,2026-02-07 20:06:21.424001,2026-02-07 20:06:21.653268,0 days 00:00:00.229267,0.05,200.0,0.3,2.0,0.5,4.0,COMPLETE
25,-999.0,2026-02-07 20:06:21.654177,2026-02-07 20:06:21.656780,0 days 00:00:00.002603,,,0.4,2.0,0.5,4.0,COMPLETE
26,-0.08317765425314556,2026-02-07 20:06:21.657680,2026-02-07 20:06:21.856806,0 days 00:00:00.199126,0.04,200.0,0.3,2.0,0.5,3.0,COMPLETE
27,-0.09667939008973814,2026-02-07 20:06:21.857677,2026-02-07 20:06:22.071611,0 days 00:00:00.213934,0.07,200.0,0.3,2.0,0.5,2.5,COMPLETE
