,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,TSLA,60.0,2021-08-02,236.56,0.0,2021-08-12,240.75,0.0,251.39999999999964,0.01771220831924245,Long,Closed,0
1,1,BABA,67.0,2021-04-12,244.01,0.0,2021-05-11,221.38,0.0,-1516.210000000001,-0.09274210073357655,Long,Closed,1
2,2,META,56.0,2021-03-05,264.28,0.0,2021-04-29,329.51,0.0,3652.879999999999,0.24682155289844102,Long,Closed,2
3,3,META,52.0,2021-10-28,316.92,0.0,2021-11-12,340.89,0.0,1246.4399999999987,0.07563422945853836,Long,Closed,3
4,4,AMD,169.0,2021-04-26,85.41,0.0,2021-05-11,76.83,0.0,-1450.0199999999986,-0.10045662100456612,Long,Closed,4
5,5,MRNA,60.0,2021-04-13,149.71,0.0,2021-04-16,170.81,0.0,1266.0,0.14093914902144145,Long,Closed,5
6,6,LCID,23.0,2021-09-29,262.8,0.0,2021-10-28,354.8,0.0,2116.0,0.350076103500761,Long,Closed,6
7,7,SNAP,141.0,2021-04-07,60.230000000000004,0.0,2021-04-28,62.04,0.0,255.20999999999913,0.03005146936742477,Long,Closed,7
8,8,JNJ,152.0,2021-06-25,164.21,0.0,2021-07-02,168.98,0.0,725.0399999999972,0.029048170026185868,Long,Closed,8
9,9,JNJ,151.0,2021-11-12,165.01,0.0,2021-12-06,162.94,0.0,-312.5699999999997,-0.01254469426095387,Long,Closed,9
10,10,SMH,171.0,2021-05-06,120.11000000000001,0.0,2021-05-11,116.63,0.0,-595.0800000000017,-0.028973441012405378,Long,Closed,10
11,11,MRK,88.0,2021-06-25,77.2,0.0,2021-07-27,77.85,0.0,57.19999999999891,0.008419689119170824,Long,Closed,11
