ticker,fold,mode,cutoff_date
SPY,3,B,2023-12-30
TSLA,3,B,2023-12-30
QQQ,3,B,2023-12-30
NVDA,3,B,2023-12-30
HTN,3,B,2023-12-30
AAPL,3,B,2023-12-30
MSFT,3,B,2023-12-30
IWM,3,B,2023-12-30
AMD,3,B,2023-12-30
AMZN,3,B,2023-12-30
META,3,B,2023-12-30
GOOGL,3,B,2023-12-30
AVGO,3,B,2023-12-30
GOOG,3,B,2023-12-30
ACL,3,B,2023-12-30
DHA,3,B,2023-12-30
DHAI,3,B,2023-12-30
COIN,3,B,2023-12-30
COST,3,B,2023-12-30
XOM,3,B,2023-12-30
INTC,3,B,2023-12-30
ADBE,3,B,2023-12-30
NFLX,3,B,2023-12-30
MARA,3,B,2023-12-30
LLY,3,B,2023-12-30
UNH,3,B,2023-12-30
MU,3,B,2023-12-30
CRM,3,B,2023-12-30
BA,3,B,2023-12-30
CVX,3,B,2023-12-30
XLE,3,B,2023-12-30
BABA,3,B,2023-12-30
DIA,3,B,2023-12-30
JPM,3,B,2023-12-30
PFE,3,B,2023-12-30
XLF,3,B,2023-12-30
V,3,B,2023-12-30
ORCL,3,B,2023-12-30
HD,3,B,2023-12-30
XLK,3,B,2023-12-30
WMT,3,B,2023-12-30
BAC,3,B,2023-12-30
AFRM,3,B,2023-12-30
NKE,3,B,2023-12-30
SMH,3,B,2023-12-30
JNJ,3,B,2023-12-30
QCOM,3,B,2023-12-30
PDD,3,B,2023-12-30
MA,3,B,2023-12-30
PBOK,3,B,2023-12-30
DIS,3,B,2023-12-30
PG,3,B,2023-12-30
BKNG,3,B,2023-12-30
XLI,3,B,2023-12-30
XBI,3,B,2023-12-30
PYPL,3,B,2023-12-30
MDB,3,B,2023-12-30
C,3,B,2023-12-30
MRK,3,B,2023-12-30
CAT,3,B,2023-12-30
XLU,3,B,2023-12-30
CSCO,3,B,2023-12-30
XLV,3,B,2023-12-30
WFC,3,B,2023-12-30
KO,3,B,2023-12-30
XLY,3,B,2023-12-30
TSM,3,B,2023-12-30
FDX,3,B,2023-12-30
PEP,3,B,2023-12-30
MCDT,3,B,2023-12-30
LIN,3,B,2023-12-30
TXN,3,B,2023-12-30
CMCSA,3,B,2023-12-30
GS,3,B,2023-12-30
ABBV,3,B,2023-12-30
XYZ,3,B,2023-12-30
COP,3,B,2023-12-30
SBUX,3,B,2023-12-30
XLP,3,B,2023-12-30
ABNB,3,B,2023-12-30
NOW,3,B,2023-12-30
ACN,3,B,2023-12-30
HUM,3,B,2023-12-30
BMY,3,B,2023-12-30
LOW,3,B,2023-12-30
GM,3,B,2023-12-30
DE,3,B,2023-12-30
SHOP,3,B,2023-12-30
SNPS,3,B,2023-12-30
CRWD,3,B,2023-12-30
VZ,3,B,2023-12-30
CI,3,B,2023-12-30
AMAT,3,B,2023-12-30
TMUS,3,B,2023-12-30
MS,3,B,2023-12-30
IBM,3,B,2023-12-30
LRCX,3,B,2023-12-30
OXY,3,B,2023-12-30
NEE,3,B,2023-12-30
AMGN,3,B,2023-12-30
DHR,3,B,2023-12-30
ASML,3,B,2023-12-30
CCL,3,B,2023-12-30
T,3,B,2023-12-30
CVS,3,B,2023-12-30
UNP,3,B,2023-12-30
CVNA,3,B,2023-12-30
HON,3,B,2023-12-30
AXP,3,B,2023-12-30
RTX,3,B,2023-12-30
ADI,3,B,2023-12-30
MRVL,3,B,2023-12-30
REGN,3,B,2023-12-30
BLK,3,B,2023-12-30
DASH,3,B,2023-12-30
SPGI,3,B,2023-12-30
GE,3,B,2023-12-30
UPS,3,B,2023-12-30
MRNA,3,B,2023-12-30
VRTX,3,B,2023-12-30
F,3,B,2023-12-30
WDAY,3,B,2023-12-30
ABC,3,B,2023-12-30
ABMD,3,B,2023-12-30
ABT,3,B,2023-12-30
ADS,3,B,2023-12-30
AEE,3,B,2023-12-30
ISRG,3,B,2023-12-30
GILD,3,B,2023-12-30
NEM,3,B,2023-12-30
PLD,3,B,2023-12-30
ROP,3,B,2023-12-30
BX,3,B,2023-12-30
ZBH,3,B,2023-12-30
ZBRA,3,B,2023-12-30
ZION,3,B,2023-12-30
MPC,3,B,2023-12-30
LMT,3,B,2023-12-30
SLB,3,B,2023-12-30
AAL,3,B,2023-12-30
TGT,3,B,2023-12-30
MELI,3,B,2023-12-30
SHW,3,B,2023-12-30
PM,3,B,2023-12-30
CB,3,B,2023-12-30
XLB,3,B,2023-12-30
MDT,3,B,2023-12-30
APTV,3,B,2023-12-30
ARE,3,B,2023-12-30
ARNC,3,B,2023-12-30
ATO,3,B,2023-12-30
NXPI,3,B,2023-12-30
TJX,3,B,2023-12-30
DG,3,B,2023-12-30
KLAC,3,B,2023-12-30
CCI,3,B,2023-12-30
TTWO,3,B,2023-12-30
IRM,3,B,2023-12-30
USB,3,B,2023-12-30
SE,3,B,2023-12-30
SOFI,3,B,2023-12-30
PSX,3,B,2023-12-30
DHI,3,B,2023-12-30
XLC,3,B,2023-12-30
CHTH,3,B,2023-12-30
CHTP,3,B,2023-12-30
FTV,3,B,2023-12-30
GDDY,3,B,2023-12-30
GEN,3,B,2023-12-30
GIS,3,B,2023-12-30
MCK,3,B,2023-12-30
BDX,3,B,2023-12-30
DL1,3,B,2023-12-30
JCI,3,B,2023-12-30
MDLZ,3,B,2023-12-30
AMT,3,B,2023-12-30
VLO,3,B,2023-12-30
EOG,3,B,2023-12-30
AON,3,B,2023-12-30
AZO,3,B,2023-12-30
CSX,3,B,2023-12-30
CMG,3,B,2023-12-30
SYK,3,B,2023-12-30
URI,3,B,2023-12-30
MCHP,3,B,2023-12-30
CME,3,B,2023-12-30
ADP,3,B,2023-12-30
O,3,B,2023-12-30
CDNS,3,B,2023-12-30
TEAM,3,B,2023-12-30
ZS,3,B,2023-12-30
ANET,3,B,2023-12-30
TYL,3,B,2023-12-30
MMM,3,B,2023-12-30
EXC,3,B,2023-12-30
RBLX,3,B,2023-12-30
ORLY,3,B,2023-12-30
EL,3,B,2023-12-30
SPOT,3,B,2023-12-30
JD,3,B,2023-12-30
