ticker,fold,mode,cutoff_date
SPY,0,A,2022-12-30
TSLA,0,A,2022-12-30
HTN,0,A,2022-12-30
QQQ,0,A,2022-12-30
AAPL,0,A,2022-12-30
MSFT,0,A,2022-12-30
AMZN,0,A,2022-12-30
NVDA,0,A,2022-12-30
IWM,0,A,2022-12-30
META,0,A,2022-12-30
ACL,0,A,2022-12-30
AMD,0,A,2022-12-30
GOOGL,0,A,2022-12-30
NFLX,0,A,2022-12-30
DHA,0,A,2022-12-30
DHAI,0,A,2022-12-30
GOOG,0,A,2022-12-30
BABA,0,A,2022-12-30
XOM,0,A,2022-12-30
CRM,0,A,2022-12-30
XLE,0,A,2022-12-30
MRNA,0,A,2022-12-30
DIA,0,A,2022-12-30
XLF,0,A,2022-12-30
AVGO,0,A,2022-12-30
BAC,0,A,2022-12-30
V,0,A,2022-12-30
BA,0,A,2022-12-30
UNH,0,A,2022-12-30
DIS,0,A,2022-12-30
JPM,0,A,2022-12-30
CVX,0,A,2022-12-30
ADBE,0,A,2022-12-30
HD,0,A,2022-12-30
JNJ,0,A,2022-12-30
NKE,0,A,2022-12-30
INTC,0,A,2022-12-30
MU,0,A,2022-12-30
PYPL,0,A,2022-12-30
XLV,0,A,2022-12-30
TSM,0,A,2022-12-30
LLY,0,A,2022-12-30
MRK,0,A,2022-12-30
COST,0,A,2022-12-30
XLI,0,A,2022-12-30
PG,0,A,2022-12-30
PFE,0,A,2022-12-30
CSCO,0,A,2022-12-30
WMT,0,A,2022-12-30
PDD,0,A,2022-12-30
XLK,0,A,2022-12-30
VZ,0,A,2022-12-30
MA,0,A,2022-12-30
CMCSA,0,A,2022-12-30
QCOM,0,A,2022-12-30
WFC,0,A,2022-12-30
PEP,0,A,2022-12-30
C,0,A,2022-12-30
XBI,0,A,2022-12-30
TXN,0,A,2022-12-30
OXY,0,A,2022-12-30
TMUS,0,A,2022-12-30
SHOP,0,A,2022-12-30
ABBV,0,A,2022-12-30
SMH,0,A,2022-12-30
KO,0,A,2022-12-30
GS,0,A,2022-12-30
XLU,0,A,2022-12-30
AMGN,0,A,2022-12-30
CAT,0,A,2022-12-30
ORCL,0,A,2022-12-30
ACN,0,A,2022-12-30
AMAT,0,A,2022-12-30
TEAM,0,A,2022-12-30
MCDT,0,A,2022-12-30
XLY,0,A,2022-12-30
XYZ,0,A,2022-12-30
T,0,A,2022-12-30
